Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-07-18,136.55,137.96,135.84,137.43,137.43,1291700,ADSK
2018-07-19,136.64,136.99,134.33,134.5,134.5,1608100,ADSK
2018-07-20,135.16,135.52,134.13,134.32,134.32,1370500,ADSK
2018-07-23,134.0,134.69,132.06,134.5,134.5,1343400,ADSK
2018-07-24,135.31,135.97,131.5,132.31,132.31,1071700,ADSK
2018-07-25,132.31,135.92,131.64,135.85,135.85,2093700,ADSK
2018-07-26,135.55,137.46,133.57,136.14,136.14,1345400,ADSK
2018-07-27,136.44,136.85,130.0,131.16,131.16,1846100,ADSK
2018-07-30,131.17,131.64,124.69,127.0,127.0,2637900,ADSK
2018-07-31,127.41,130.45,126.58,128.44,128.44,1913200,ADSK
2018-08-01,127.99,129.77,126.73,127.18,127.18,1885000,ADSK
2018-08-02,125.93,131.32,125.89,131.16,131.16,1452400,ADSK
2018-08-03,131.33,132.47,129.96,132.05,132.05,1372800,ADSK
2018-08-06,131.93,134.61,131.32,134.35,134.35,1304200,ADSK
2018-08-07,134.44,136.33,134.38,135.19,135.19,1226200,ADSK
2018-08-08,134.83,135.26,133.47,134.14,134.14,994700,ADSK
2018-08-09,134.59,137.0,133.89,135.11,135.11,1160600,ADSK
2018-08-10,134.27,136.21,133.71,134.85,134.85,1115200,ADSK
2018-08-13,135.24,136.56,133.26,133.39,133.39,1178700,ADSK
2018-08-14,134.05,135.26,133.07,134.0,134.0,1056200,ADSK
2018-08-15,133.01,133.63,129.34,131.05,131.05,1695200,ADSK
2018-08-16,132.1,133.89,131.1,133.73,133.73,2660900,ADSK
2018-08-17,133.13,133.53,129.87,132.35,132.35,2117300,ADSK
2018-08-20,132.35,134.29,131.63,133.72,133.72,2540900,ADSK
2018-08-21,134.18,136.96,133.69,135.52,135.52,2547800,ADSK
2018-08-22,134.84,137.55,134.84,136.94,136.94,1875300,ADSK
2018-08-23,136.97,138.7,135.65,136.31,136.31,2613800,ADSK
2018-08-24,152.39,157.78,150.62,157.2,157.2,8511200,ADSK
2018-08-27,158.06,159.94,153.91,154.63,154.63,3290900,ADSK
2018-08-28,154.87,157.83,154.67,156.81,156.81,2193300,ADSK
2018-08-29,156.75,157.63,155.32,155.67,155.67,2316000,ADSK
2018-08-30,155.63,155.93,153.58,153.86,153.86,1848900,ADSK
2018-08-31,153.56,154.74,153.27,154.35,154.35,1661000,ADSK
2018-09-04,154.17,154.48,152.29,153.59,153.59,1515000,ADSK
2018-09-05,153.87,154.31,148.45,149.33,149.33,1689400,ADSK
2018-09-06,149.34,150.26,147.33,148.8,148.8,1498000,ADSK
2018-09-07,147.64,150.85,146.71,149.17,149.17,1533500,ADSK
2018-09-10,149.96,151.22,148.54,150.75,150.75,1466300,ADSK
2018-09-11,150.29,151.73,150.07,150.87,150.87,1098300,ADSK
2018-09-12,150.82,150.95,147.6,150.78,150.78,1218200,ADSK
2018-09-13,151.6,154.06,151.11,151.38,151.38,1126800,ADSK
2018-09-14,151.33,153.21,150.54,151.35,151.35,1502600,ADSK
2018-09-17,150.23,152.0,146.29,146.72,146.72,1690100,ADSK
2018-09-18,146.81,150.54,146.14,148.79,148.79,1435700,ADSK
2018-09-19,148.32,148.98,145.9,148.4,148.4,1247900,ADSK
2018-09-20,149.77,153.94,148.97,153.23,153.23,2795600,ADSK
2018-09-21,153.86,154.59,151.63,152.4,152.4,2662600,ADSK
2018-09-24,150.65,153.7,149.33,152.83,152.83,1575400,ADSK
2018-09-25,153.11,155.56,152.98,155.4,155.4,1473000,ADSK
2018-09-26,155.99,157.11,154.31,154.82,154.82,1118700,ADSK
2018-09-27,155.36,156.51,154.87,156.0,156.0,1026200,ADSK
2018-09-28,155.05,156.67,154.83,156.11,156.11,976400,ADSK
2018-10-01,155.65,156.64,154.85,155.5,155.5,1490000,ADSK
2018-10-02,155.73,156.26,153.13,153.92,153.92,1463600,ADSK
2018-10-03,154.26,155.83,153.44,154.87,154.87,1508300,ADSK
2018-10-04,153.67,154.79,149.76,152.1,152.1,5205100,ADSK
2018-10-05,152.0,153.38,150.43,152.0,152.0,3242600,ADSK
2018-10-08,151.14,152.33,145.12,146.21,146.21,3913100,ADSK
2018-10-09,146.52,148.13,142.7,142.86,142.86,2442500,ADSK
2018-10-10,141.66,141.99,133.34,133.5,133.5,3865600,ADSK
2018-10-11,132.6,134.42,129.0,130.89,130.89,3051200,ADSK
2018-10-12,135.68,140.25,135.25,138.18,138.18,3965700,ADSK
2018-10-15,138.47,139.32,132.8,134.6,134.6,2273300,ADSK
2018-10-16,137.3,141.8,136.62,141.42,141.42,2096000,ADSK
2018-10-17,141.18,142.1,138.7,141.77,141.77,1599300,ADSK
2018-10-18,140.76,141.45,135.76,137.29,137.29,2011900,ADSK
2018-10-19,137.98,140.43,133.1,133.18,133.18,3067600,ADSK
2018-10-22,133.93,137.31,131.45,135.64,135.64,1931300,ADSK
2018-10-23,132.65,136.09,130.11,134.12,134.12,2325900,ADSK
2018-10-24,133.31,134.04,124.68,124.92,124.92,3694700,ADSK
2018-10-25,127.19,131.0,126.18,130.01,130.01,2707300,ADSK
2018-10-26,125.54,128.96,123.93,124.71,124.71,3264100,ADSK
2018-10-29,128.78,129.16,119.93,124.13,124.13,3619300,ADSK
2018-10-30,123.87,126.88,122.96,125.96,125.96,2060600,ADSK
2018-10-31,128.28,132.5,127.67,129.25,129.25,2260500,ADSK
2018-11-01,130.0,135.66,127.34,135.23,135.23,2485600,ADSK
2018-11-02,135.51,137.29,132.71,134.13,134.13,1578800,ADSK
2018-11-05,134.7,134.88,131.55,133.5,133.5,1147800,ADSK
2018-11-06,133.12,135.7,132.01,133.7,133.7,869700,ADSK
2018-11-07,135.26,139.42,135.26,138.92,138.92,2897300,ADSK
2018-11-08,138.78,140.71,137.89,140.61,140.61,1617400,ADSK
2018-11-09,139.28,139.29,133.78,135.55,135.55,1603000,ADSK
2018-11-12,134.18,134.49,128.85,130.11,130.11,1787600,ADSK
2018-11-13,131.11,134.17,129.72,130.92,130.92,1527000,ADSK
2018-11-14,133.0,133.99,128.23,129.43,129.43,1520700,ADSK
2018-11-15,128.63,134.7,127.94,134.29,134.29,1771600,ADSK
2018-11-16,134.8,135.96,132.53,134.04,134.04,1956400,ADSK
2018-11-19,134.21,134.96,125.05,125.74,125.74,2703700,ADSK
2018-11-20,123.17,125.9,120.1,123.05,123.05,3656000,ADSK
2018-11-21,136.0,139.4,132.23,135.04,135.04,6007100,ADSK
2018-11-23,132.89,134.74,131.7,132.69,132.69,2257000,ADSK
2018-11-26,134.98,139.1,134.16,138.8,138.8,2889000,ADSK
2018-11-27,137.34,143.0,136.63,140.16,140.16,3639800,ADSK
2018-11-28,141.34,145.21,140.31,143.16,143.16,3333600,ADSK
2018-11-29,141.95,147.44,141.95,145.55,145.55,3248100,ADSK
2018-11-30,145.92,146.5,142.19,144.5,144.5,2624800,ADSK
2018-12-03,148.03,150.41,146.53,148.02,148.02,2913400,ADSK
2018-12-04,146.64,148.85,139.38,139.84,139.84,2790200,ADSK
2018-12-06,136.36,140.14,133.3,140.14,140.14,2588300,ADSK
2018-12-07,138.71,139.87,131.62,132.57,132.57,2111700,ADSK
2018-12-10,132.43,135.63,130.5,135.02,135.02,1657300,ADSK
2018-12-11,138.28,138.98,133.24,133.87,133.87,2171200,ADSK
2018-12-12,137.5,140.42,136.22,137.79,137.79,1772700,ADSK
2018-12-13,136.46,138.95,133.66,135.57,135.57,1485900,ADSK
2018-12-14,133.6,135.83,130.99,131.5,131.5,1463100,ADSK
2018-12-17,130.99,131.95,126.51,127.27,127.27,2248000,ADSK
2018-12-18,128.36,131.54,128.29,130.58,130.58,1878600,ADSK
2018-12-19,130.44,134.82,127.0,128.13,128.13,2705300,ADSK
2018-12-20,127.64,129.44,121.04,124.93,124.93,2581600,ADSK
2018-12-21,125.84,126.7,120.11,120.3,120.3,3894400,ADSK
2018-12-24,118.72,122.14,117.72,118.32,118.32,1642000,ADSK
2018-12-26,119.54,125.93,118.2,125.93,125.93,1842400,ADSK
2018-12-27,122.66,127.49,121.26,127.41,127.41,1850900,ADSK
2018-12-28,128.71,130.11,125.07,127.23,127.23,1349200,ADSK
2018-12-31,129.19,129.5,127.18,128.61,128.61,1394800,ADSK
2019-01-02,125.39,129.64,124.65,128.96,128.96,1517500,ADSK
2019-01-03,126.49,127.5,121.12,121.85,121.85,2564700,ADSK
2019-01-04,124.37,129.37,121.81,128.28,128.28,2480600,ADSK
2019-01-07,128.27,133.4,128.15,132.72,132.72,1634600,ADSK
2019-01-08,134.26,135.7,132.25,133.87,133.87,1324800,ADSK
2019-01-09,134.72,137.78,133.41,136.77,136.77,1770500,ADSK
2019-01-10,135.21,137.53,134.85,136.71,136.71,1517600,ADSK
2019-01-11,135.78,137.5,135.25,136.74,136.74,903200,ADSK
2019-01-14,135.37,136.18,134.12,134.75,134.75,906300,ADSK
2019-01-15,131.88,137.45,131.88,135.88,135.88,1574000,ADSK
2019-01-16,136.18,137.5,134.8,135.3,135.3,1425800,ADSK
2019-01-17,134.63,137.9,134.26,136.5,136.5,2127900,ADSK
2019-01-18,138.29,141.84,135.46,141.73,141.73,2684500,ADSK
2019-01-22,140.28,141.52,138.12,139.06,139.06,2015500,ADSK
2019-01-23,139.46,141.14,136.56,137.49,137.49,1637900,ADSK
2019-01-24,136.02,137.5,135.24,136.05,136.05,2117900,ADSK
2019-01-25,138.11,142.48,137.76,142.08,142.08,1959500,ADSK
2019-01-28,140.65,141.09,138.74,140.77,140.77,1314600,ADSK
2019-01-29,140.92,141.77,139.01,140.16,140.16,806600,ADSK
2019-01-30,141.68,146.06,140.61,146.0,146.0,1295800,ADSK
2019-01-31,146.2,148.57,145.86,147.2,147.2,1416300,ADSK
2019-02-01,147.78,149.56,146.9,149.07,149.07,1647400,ADSK
2019-02-04,149.06,152.65,149.0,151.59,151.59,1717500,ADSK
2019-02-05,151.73,153.69,151.67,152.42,152.42,1591400,ADSK
2019-02-06,152.16,153.14,150.79,152.28,152.28,1325800,ADSK
2019-02-07,151.0,151.93,149.14,150.56,150.56,1859600,ADSK
2019-02-08,149.12,154.41,149.12,154.31,154.31,1407900,ADSK
2019-02-11,155.0,156.27,153.8,154.57,154.57,1432200,ADSK
2019-02-12,156.4,159.61,155.89,159.54,159.54,1738900,ADSK
2019-02-13,159.97,161.1,159.21,160.03,160.03,1898000,ADSK
2019-02-14,158.84,161.05,158.01,159.94,159.94,1470400,ADSK
2019-02-15,161.51,161.51,159.39,160.35,160.35,1699100,ADSK
2019-02-19,160.43,160.97,159.0,160.68,160.68,1758600,ADSK
2019-02-20,160.55,161.49,158.48,159.8,159.8,1175500,ADSK
2019-02-21,159.64,160.68,158.85,159.83,159.83,1050500,ADSK
2019-02-22,160.87,161.78,160.19,161.51,161.51,948800,ADSK
2019-02-25,163.54,166.29,163.49,163.94,163.94,1976500,ADSK
2019-02-26,163.78,164.29,161.71,163.31,163.31,1576000,ADSK
2019-02-27,162.59,164.32,160.66,164.28,164.28,1530900,ADSK
2019-02-28,164.07,164.67,162.59,163.01,163.01,2233300,ADSK
2019-03-01,167.77,169.05,158.4,159.77,159.77,3836700,ADSK
2019-03-04,161.0,161.84,153.25,157.79,157.79,4197500,ADSK
2019-03-05,158.2,158.2,154.17,154.71,154.71,2193300,ADSK
2019-03-06,154.76,155.96,152.04,153.51,153.51,1803500,ADSK
2019-03-07,152.9,153.97,150.88,152.77,152.77,3167600,ADSK
2019-03-08,150.29,152.5,149.5,152.37,152.37,1692100,ADSK
2019-03-11,152.39,155.28,151.86,154.04,154.04,2074600,ADSK
2019-03-12,154.36,155.39,152.88,154.81,154.81,1418600,ADSK
2019-03-13,155.34,157.09,153.21,153.38,153.38,2143600,ADSK
2019-03-14,153.05,154.26,151.93,153.15,153.15,2233800,ADSK
2019-03-15,152.7,154.68,152.46,153.28,153.28,3513600,ADSK
2019-03-18,153.29,155.32,152.33,153.85,153.85,1925200,ADSK
2019-03-19,154.62,156.12,153.66,155.1,155.1,2172900,ADSK
2019-03-20,156.0,156.27,152.36,154.31,154.31,1805700,ADSK
2019-03-21,154.27,159.04,154.27,158.82,158.82,1550300,ADSK
2019-03-22,158.0,158.82,153.94,154.22,154.22,1858300,ADSK
2019-03-25,153.53,155.55,152.43,154.69,154.69,1768900,ADSK
2019-03-26,155.49,157.39,154.86,155.91,155.91,1511400,ADSK
2019-03-27,155.65,156.1,151.15,153.1,153.1,1595400,ADSK
2019-03-28,153.74,154.53,151.2,153.03,153.03,1483500,ADSK
2019-03-29,154.69,155.94,153.86,155.82,155.82,1833400,ADSK
2019-04-01,158.22,163.97,157.29,163.82,163.82,3886200,ADSK
2019-04-02,163.53,164.85,163.03,164.35,164.35,1904100,ADSK
2019-04-03,165.55,168.56,165.0,166.65,166.65,2655600,ADSK
2019-04-04,166.69,168.0,163.22,165.05,165.05,2234600,ADSK
2019-04-05,166.04,167.15,165.14,166.33,166.33,1259100,ADSK
2019-04-08,165.82,166.93,163.13,166.74,166.74,1699100,ADSK
2019-04-09,166.15,167.37,165.56,167.06,167.06,1214000,ADSK
2019-04-10,167.3,170.91,167.17,170.46,170.46,1643500,ADSK
2019-04-11,171.32,172.11,170.03,171.88,171.88,1601300,ADSK
2019-04-12,173.02,173.44,170.65,171.87,171.87,1404500,ADSK
2019-04-15,172.01,173.22,170.99,172.77,172.77,984600,ADSK
2019-04-16,173.0,174.4,171.34,172.67,172.67,1516600,ADSK
2019-04-17,173.12,173.4,167.61,168.03,168.03,1862600,ADSK
2019-04-18,168.35,169.38,164.81,169.2,169.2,1634600,ADSK
2019-04-22,168.69,172.31,167.9,172.15,172.15,1245600,ADSK
2019-04-23,173.0,176.21,172.5,175.28,175.28,1889400,ADSK
2019-04-24,175.04,177.37,175.04,176.31,176.31,1168800,ADSK
2019-04-25,176.76,177.48,172.92,175.32,175.32,1415500,ADSK
2019-04-26,175.37,177.11,174.31,176.99,176.99,1263700,ADSK
2019-04-29,177.29,178.56,176.35,176.68,176.68,1188500,ADSK
2019-04-30,176.67,178.42,175.38,178.21,178.21,1072200,ADSK
2019-05-01,178.93,178.95,173.9,173.97,173.97,1292200,ADSK
2019-05-02,173.64,174.66,171.33,173.36,173.36,996700,ADSK
2019-05-03,174.72,176.88,174.06,176.7,176.7,959600,ADSK
2019-05-06,171.8,175.51,169.8,175.28,175.28,1271000,ADSK
2019-05-07,173.0,174.21,168.87,170.72,170.72,1725400,ADSK
2019-05-08,170.34,172.79,169.72,171.51,171.51,1097200,ADSK
2019-05-09,169.23,172.01,167.46,171.42,171.42,1267600,ADSK
2019-05-10,170.64,174.19,167.81,173.77,173.77,1302200,ADSK
2019-05-13,168.05,170.71,164.6,164.93,164.93,1802100,ADSK
2019-05-14,166.73,170.75,166.14,169.96,169.96,1339700,ADSK
2019-05-15,168.17,173.93,168.17,173.32,173.32,1475000,ADSK
2019-05-16,174.15,178.42,173.76,176.68,176.68,1261200,ADSK
2019-05-17,174.97,177.7,173.89,174.33,174.33,1276100,ADSK
2019-05-20,172.43,172.83,168.31,170.61,170.61,1717800,ADSK
2019-05-21,172.76,174.94,172.23,174.23,174.23,1478600,ADSK
2019-05-22,173.87,175.47,173.24,174.03,174.03,1257000,ADSK
2019-05-23,170.01,173.74,167.14,169.54,169.54,2521800,ADSK
2019-05-24,160.68,165.18,158.51,161.22,161.22,6108900,ADSK
2019-05-28,161.52,165.35,160.7,161.09,161.09,3036900,ADSK
2019-05-29,160.0,162.29,159.26,161.52,161.52,2439300,ADSK
2019-05-30,161.87,163.56,161.31,162.62,162.62,1110100,ADSK
2019-05-31,160.0,162.47,159.79,160.91,160.91,1862900,ADSK
2019-06-03,161.42,161.77,153.55,154.82,154.82,2980100,ADSK
2019-06-04,157.58,160.05,155.81,159.91,159.91,1877000,ADSK
2019-06-05,162.32,162.56,158.45,161.31,161.31,1229200,ADSK
2019-06-06,161.09,161.48,158.37,161.16,161.16,1236500,ADSK
2019-06-07,162.04,166.0,161.67,165.3,165.3,1388900,ADSK
2019-06-10,166.38,168.15,164.99,165.12,165.12,1504300,ADSK
2019-06-11,166.94,167.93,162.03,163.2,163.2,1363600,ADSK
2019-06-12,163.46,163.81,161.72,163.77,163.77,901800,ADSK
2019-06-13,164.54,164.88,161.77,162.32,162.32,1121400,ADSK
2019-06-14,161.85,163.0,156.22,158.16,158.16,1573800,ADSK
2019-06-17,158.39,158.81,157.09,157.38,157.38,1423300,ADSK
2019-06-18,159.87,163.38,159.27,161.9,161.9,1427800,ADSK
2019-06-19,163.01,166.79,162.35,165.63,165.63,2892600,ADSK
2019-06-20,169.03,171.11,167.89,169.45,169.45,2739900,ADSK
2019-06-21,169.33,171.68,169.0,170.89,170.89,3079900,ADSK
2019-06-24,171.37,171.83,168.29,168.5,168.5,2507700,ADSK
2019-06-25,169.28,169.37,162.84,163.16,163.16,2368300,ADSK
2019-06-26,164.17,165.81,162.32,162.48,162.48,1157300,ADSK
2019-06-27,163.15,166.07,162.78,165.25,165.25,1624000,ADSK
2019-06-28,166.12,166.36,162.87,162.9,162.9,4849700,ADSK
2019-07-01,166.99,170.06,165.52,169.29,169.29,2262200,ADSK
2019-07-02,169.11,170.32,168.4,170.1,170.1,862200,ADSK
2019-07-03,170.36,172.18,168.84,172.0,172.0,852800,ADSK
2019-07-05,170.39,172.34,169.44,172.23,172.23,1233400,ADSK
2019-07-08,170.75,171.39,168.77,169.87,169.87,1766300,ADSK
2019-07-09,168.77,171.43,168.26,171.35,171.35,1257400,ADSK
2019-07-10,172.51,175.28,172.0,172.74,172.74,1419100,ADSK
2019-07-11,173.11,174.8,171.5,173.33,173.33,1111200,ADSK
2019-07-12,174.46,174.46,170.93,174.19,174.19,1224400,ADSK
2019-07-15,174.9,174.9,172.7,173.71,173.71,812500,ADSK
2019-07-16,174.02,174.66,170.67,171.01,171.01,1076000,ADSK
2019-07-17,170.65,172.02,169.77,171.62,171.62,1102600,ADSK
2019-07-18,170.68,173.63,170.57,172.38,172.38,904300,ADSK
2019-07-19,173.3,174.35,169.21,169.31,169.31,1155900,ADSK
2019-07-22,170.31,172.27,170.09,170.36,170.36,1072300,ADSK
2019-07-23,171.45,171.45,167.97,169.74,169.74,952300,ADSK
2019-07-24,169.02,173.95,167.93,173.51,173.51,1086400,ADSK
2019-07-25,171.91,172.76,167.15,169.92,169.92,1591000,ADSK
2019-07-26,170.23,171.51,167.77,167.99,167.99,1159200,ADSK
2019-07-29,168.31,168.62,160.7,162.77,162.77,1930100,ADSK
2019-07-30,162.08,162.85,160.01,160.29,160.29,1036500,ADSK
2019-07-31,160.28,160.6,154.29,156.17,156.17,1676100,ADSK
2019-08-01,156.12,158.83,153.03,153.47,153.47,2680300,ADSK
2019-08-02,153.23,154.27,146.1,147.76,147.76,3830700,ADSK
2019-08-05,143.58,144.05,141.06,143.57,143.57,3382200,ADSK
2019-08-06,145.26,146.67,142.06,143.67,143.67,2234200,ADSK
2019-08-07,141.88,144.96,140.64,144.17,144.17,1790600,ADSK
2019-08-08,146.48,152.22,146.19,152.09,152.09,3198600,ADSK
2019-08-09,151.04,152.67,149.46,151.34,151.34,1888200,ADSK
2019-08-12,149.53,150.36,147.85,148.87,148.87,2587100,ADSK
2019-08-13,148.59,154.52,148.14,151.81,151.81,1795400,ADSK
2019-08-14,148.52,148.67,143.61,146.92,146.92,2198600,ADSK
2019-08-15,144.99,144.99,141.46,142.92,142.92,3180500,ADSK
2019-08-16,144.71,145.32,143.54,144.13,144.13,1951800,ADSK
2019-08-19,146.75,146.8,145.46,146.18,146.18,1900500,ADSK
2019-08-20,145.72,147.42,144.53,146.56,146.56,1078300,ADSK
2019-08-21,147.75,148.1,145.01,145.95,145.95,1967100,ADSK
2019-08-22,145.9,146.43,143.17,145.21,145.21,2616000,ADSK
2019-08-23,144.4,147.11,143.24,143.99,143.99,2552500,ADSK
2019-08-26,145.82,147.86,145.66,147.8,147.8,2027100,ADSK
2019-08-27,149.45,151.4,148.69,150.21,150.21,4223900,ADSK
2019-08-28,131.43,141.36,129.7,140.08,140.08,18498400,ADSK
2019-08-29,142.02,142.98,140.16,142.63,142.63,3284400,ADSK
2019-08-30,143.79,144.13,141.11,142.82,142.82,2991400,ADSK
2019-09-03,141.0,143.0,139.87,141.15,141.15,2335600,ADSK
2019-09-04,142.56,145.59,141.86,144.34,144.34,1879700,ADSK
2019-09-05,146.28,149.11,145.62,148.22,148.22,2956800,ADSK
2019-09-06,148.83,152.71,148.1,150.35,150.35,2092900,ADSK
2019-09-09,151.02,151.65,147.57,151.02,151.02,2900600,ADSK
2019-09-10,149.98,151.37,146.06,148.05,148.05,2077200,ADSK
2019-09-11,149.27,154.91,147.55,154.67,154.67,3307200,ADSK
2019-09-12,155.67,159.88,155.05,155.69,155.69,3478900,ADSK
2019-09-13,155.53,156.14,152.87,153.48,153.48,1994200,ADSK
2019-09-16,152.47,155.01,152.46,153.87,153.87,1505100,ADSK
2019-09-17,152.25,153.86,152.0,153.67,153.67,1318400,ADSK
2019-09-18,152.13,152.34,148.25,151.11,151.11,2046100,ADSK
2019-09-19,151.39,154.19,151.39,153.38,153.38,1345100,ADSK
2019-09-20,153.14,154.26,151.43,153.34,153.34,1925700,ADSK
2019-09-23,152.46,153.53,151.7,152.37,152.37,1042700,ADSK
2019-09-24,152.94,153.63,148.17,149.13,149.13,1975600,ADSK
2019-09-25,148.85,149.14,144.92,147.43,147.43,2022900,ADSK
2019-09-26,146.86,149.89,145.72,149.07,149.07,1058900,ADSK
2019-09-27,149.37,149.99,143.7,145.19,145.19,1781300,ADSK
2019-09-30,145.74,147.97,144.7,147.7,147.7,1182500,ADSK
2019-10-01,148.5,149.49,144.99,145.71,145.71,1586000,ADSK
2019-10-02,143.99,144.12,141.68,142.84,142.84,1620000,ADSK
2019-10-03,142.37,145.08,140.26,144.77,144.77,1402300,ADSK
2019-10-04,145.88,147.39,144.25,146.89,146.89,1200400,ADSK
2019-10-07,145.98,148.51,145.98,147.56,147.56,1019100,ADSK
2019-10-08,146.17,148.0,145.31,145.65,145.65,1727600,ADSK
2019-10-09,147.32,148.7,146.29,148.37,148.37,854700,ADSK
2019-10-10,147.95,149.09,144.5,144.73,144.73,1456800,ADSK
2019-10-11,147.16,152.26,146.7,150.32,150.32,1856800,ADSK
2019-10-14,149.71,150.43,148.58,150.27,150.27,795000,ADSK
2019-10-15,150.56,151.26,149.37,150.0,150.0,1221700,ADSK
2019-10-16,147.85,148.17,143.26,145.38,145.38,2887400,ADSK
2019-10-17,146.02,146.82,144.03,144.27,144.27,1440500,ADSK
2019-10-18,144.02,144.49,138.9,139.67,139.67,2959700,ADSK
2019-10-21,140.9,142.37,139.2,141.49,141.49,1800300,ADSK
2019-10-22,142.02,142.58,139.71,140.07,140.07,1297600,ADSK
2019-10-23,139.57,142.8,138.62,141.93,141.93,1646300,ADSK
2019-10-24,143.0,146.1,142.52,145.37,145.37,1302600,ADSK
2019-10-25,144.98,147.17,144.32,145.54,145.54,1062500,ADSK
2019-10-28,146.99,147.84,145.36,146.99,146.99,866800,ADSK
2019-10-29,146.98,147.92,145.39,145.59,145.59,891200,ADSK
2019-10-30,146.24,149.52,144.84,148.78,148.78,1114300,ADSK
2019-10-31,148.76,149.04,145.34,147.36,147.36,1048000,ADSK
2019-11-01,148.6,151.0,147.61,150.25,150.25,1142700,ADSK
2019-11-04,151.15,151.76,149.55,151.27,151.27,1025900,ADSK
2019-11-05,152.04,153.37,149.08,151.73,151.73,1023500,ADSK
2019-11-06,151.68,151.96,150.48,151.51,151.51,832300,ADSK
2019-11-07,152.31,153.8,151.0,151.82,151.82,639400,ADSK
2019-11-08,150.79,152.99,150.43,152.96,152.96,665400,ADSK
2019-11-11,152.39,154.1,151.9,152.92,152.92,539500,ADSK
2019-11-12,154.78,158.58,154.33,158.06,158.06,1618100,ADSK
2019-11-13,156.84,159.33,156.06,159.21,159.21,978400,ADSK
2019-11-14,158.41,159.34,157.32,158.14,158.14,1272000,ADSK
2019-11-15,158.36,161.8,157.51,161.75,161.75,1726600,ADSK
2019-11-18,160.03,163.72,159.78,162.44,162.44,1538100,ADSK
2019-11-19,163.47,164.94,162.42,164.53,164.53,1269600,ADSK
2019-11-20,165.0,167.05,164.08,165.33,165.33,1528900,ADSK
2019-11-21,165.33,165.92,164.11,165.05,165.05,1242500,ADSK
2019-11-22,165.96,167.2,164.48,167.01,167.01,899400,ADSK
2019-11-25,168.0,169.29,167.67,168.88,168.88,1573300,ADSK
2019-11-26,169.79,172.0,168.7,170.8,170.8,3420200,ADSK
2019-11-27,170.53,180.62,169.7,180.18,180.18,4433900,ADSK
2019-11-29,178.5,181.36,176.65,180.9,180.9,1472300,ADSK
2019-12-02,180.69,181.19,175.07,175.63,175.63,1886800,ADSK
2019-12-03,172.2,175.73,170.92,175.4,175.4,1352200,ADSK
2019-12-04,175.09,177.33,173.61,176.4,176.4,1122700,ADSK
2019-12-05,177.56,177.56,175.22,176.63,176.63,975000,ADSK
2019-12-06,177.93,179.92,176.73,179.32,179.32,971400,ADSK
2019-12-09,179.31,181.55,178.71,178.83,178.83,1425100,ADSK
2019-12-10,178.5,179.81,177.66,178.46,178.46,1159000,ADSK
2019-12-11,179.08,179.9,177.71,179.64,179.64,1605700,ADSK
2019-12-12,175.76,178.95,175.32,177.9,177.9,1506200,ADSK
2019-12-13,178.42,179.79,177.56,179.41,179.41,1323400,ADSK
2019-12-16,180.13,184.87,180.01,184.37,184.37,1750200,ADSK
2019-12-17,184.61,185.4,180.74,181.49,181.49,1427100,ADSK
2019-12-18,182.0,185.08,181.5,183.75,183.75,1137600,ADSK
2019-12-19,184.0,184.75,182.37,183.78,183.78,974400,ADSK
2019-12-20,185.75,185.75,182.62,182.84,182.84,2396800,ADSK
2019-12-23,183.18,183.83,181.73,182.92,182.92,903600,ADSK
2019-12-24,183.2,184.0,182.82,183.91,183.91,256200,ADSK
2019-12-26,184.4,185.31,183.68,184.24,184.24,634400,ADSK
2019-12-27,185.3,185.64,183.7,185.38,185.38,645200,ADSK
2019-12-30,184.63,185.5,182.01,183.3,183.3,999200,ADSK
2019-12-31,183.05,184.32,182.31,183.46,183.46,760300,ADSK
2020-01-02,184.21,187.89,181.88,187.83,187.83,1515000,ADSK
2020-01-03,184.49,186.41,183.78,184.95,184.95,737900,ADSK
2020-01-06,183.78,187.25,183.16,187.12,187.12,1021900,ADSK
2020-01-07,186.13,188.17,185.1,187.5,187.5,897200,ADSK
2020-01-08,188.22,190.5,187.03,189.95,189.95,1314800,ADSK
2020-01-09,191.71,192.7,190.68,191.94,191.94,1164500,ADSK
2020-01-10,193.16,193.42,191.84,192.36,192.36,708900,ADSK
2020-01-13,190.0,193.37,190.0,192.45,192.45,1454200,ADSK
2020-01-14,192.25,193.13,190.63,191.11,191.11,1146500,ADSK
2020-01-15,190.94,192.17,190.01,190.79,190.79,1444000,ADSK
2020-01-16,192.51,193.12,191.5,192.5,192.5,2195900,ADSK
2020-01-17,192.38,194.24,191.31,193.35,193.35,2384900,ADSK
2020-01-21,194.01,197.55,193.7,195.84,195.84,1455400,ADSK
2020-01-22,197.47,198.72,194.62,194.73,194.73,1068600,ADSK
2020-01-23,195.39,198.91,193.76,198.6,198.6,1687300,ADSK
2020-01-24,199.43,200.9,197.91,199.19,199.19,2437200,ADSK
2020-01-27,195.77,197.15,192.96,195.87,195.87,1837800,ADSK
2020-01-28,196.26,200.43,195.68,200.03,200.03,1270100,ADSK
2020-01-29,200.92,201.57,198.86,199.74,199.74,838200,ADSK
2020-01-30,198.42,200.84,196.98,198.99,198.99,1520900,ADSK
2020-01-31,198.77,199.32,193.31,196.85,196.85,1616600,ADSK
2020-02-03,197.86,199.94,197.78,199.26,199.26,888300,ADSK
